objectid,park_name,site_number,table_count,comments,data_source,lat,lng
158,Campbell Square,0,2,,"2018 NaturePHL, NearMap2021",39.98630766400635,-75.10328310042443
159,Campbell Square,0,2,,"2018 NaturePHL, NearMap2021",39.98623318342775,-75.10343383386845
160,Carousel House Recreation Center,0,7,Non-fixed tables,"Pictometry 2020, 2018 NaturePHL, 2018 Imagery",39.97902178397637,-75.21267080206266
161,Carroll Park,0,1,,"2018 NaturePHL, Pictometry 2020",39.970854520626474,-75.23632748713295
162,Carroll Park,0,1,,"2018 NaturePHL, Pictometry 2020",39.97130196731744,-75.23660279603091
163,Cecil B Moore Recreation Center,0,1,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.994177524733615,-75.16769781572
164,Corporal Jimmy OConnor Memorial Playground,0,2,Formerly Chalfont Playground,"2018 NaturePHL, Pictometry 2020",40.07949123459234,-74.97462204457177
165,Charles H Chew Jr Playground,0,2,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",39.93781769198442,-75.17401701976061
166,Clarence H Clark Park,0,12,"Count can change, since tables are not fixed.","2018 NaturePHL, 2016 Google Map, Pictometry 2020",39.94898035173633,-75.20984765786655
167,Clayborne and Lewis Playground,0,4,,"Pictometry 2020, 2018 NaturePHL, 2017 Google Map",39.973644914969555,-75.1990185783011
168,Cloverly Park,0,1,,"2018 NaturePHL, 2018 Street Smart, Pictometry 2020",40.02555107989831,-75.18072724702449
169,Jose Manuel Collazo Park,0,2,,"2018 NaturePHL, 2018 Google Map, Pictometry 2020",39.99958275455475,-75.1304966947294
